City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Balkhash,KZ,46.844,74.9804,49.86,45,0,14.18,clear sky
297,Luderitz,NA,-26.6481,15.1594,77.38,32,64,7.45,broken clouds
298,Ponte De Sor,PT,39.2496,-8.0101,64.99,73,95,1.45,overcast clouds
299,Durban,ZA,-29.8579,31.0292,75.0,88,75,4.61,broken clouds
300,Balrampur,IN,27.4333,82.1833,81.9,15,21,5.46,few clouds
301,Dunedin,NZ,-45.8742,170.5036,52.0,80,55,1.83,light rain
302,Khuzdar,PK,27.7384,66.6434,66.24,51,59,1.39,broken clouds
303,Zarichne,UA,51.8126,26.129,43.93,94,100,8.01,overcast clouds
304,Iberia,US,29.9502,-91.7507,73.4,73,75,11.5,broken clouds
305,Pemangkat,ID,1.1667,108.9667,77.02,86,78,4.29,broken clouds
306,Jaru,BR,-10.4389,-62.4664,84.65,74,82,0.27,broken clouds
307,Kununurra,AU,-15.7667,128.7333,66.2,94,99,1.77,overcast clouds
308,Reconquista,AR,-29.15,-59.65,76.14,76,90,7.38,moderate rain
309,Senno,RU,59.5336,33.9167,36.18,83,77,8.23,broken clouds
310,Khandyga,RU,62.6667,135.6,5.83,97,100,2.95,overcast clouds
311,Doha,QA,25.2867,51.5333,78.8,31,0,9.22,clear sky
312,Vanavara,RU,60.34,102.2797,29.71,95,100,16.51,snow
313,Tianpeng,CN,30.9866,103.9393,59.0,1,100,6.78,overcast clouds
314,Redmond,US,47.674,-122.1215,70.0,38,0,5.61,clear sky
315,San Cristobal,VE,7.7669,-72.225,87.8,58,40,9.22,scattered clouds
316,Balkanabat,TM,39.5108,54.3671,70.36,28,88,5.57,overcast clouds
317,Ushtobe,KZ,45.2514,77.9838,50.97,35,0,9.57,clear sky
318,Borazjan,IR,29.2666,51.2159,73.4,68,0,11.5,clear sky
319,Tasiilaq,GL,65.6145,-37.6368,30.2,86,90,19.57,snow
320,Mae Hong Son,TH,19.3003,97.9685,76.41,70,17,1.48,few clouds
321,Rawson,AR,-43.3002,-65.1023,67.48,28,0,6.46,clear sky
322,Gat,IL,31.61,34.7642,69.01,64,100,5.03,overcast clouds
323,Tambura,SS,5.6,27.4667,73.11,74,28,3.87,scattered clouds
324,Beloha,MG,-25.1667,45.05,72.05,92,0,5.23,clear sky
325,Pedernales,DO,18.0384,-71.744,81.5,63,3,7.02,clear sky
326,Guliston,UZ,40.4897,68.7842,61.63,41,12,2.51,few clouds
327,Nzerekore,GN,7.7562,-8.8179,74.28,71,99,2.13,overcast clouds
328,Thessalon,CA,46.2501,-83.5666,41.0,87,90,6.91,overcast clouds
329,Ambon,ID,-3.6954,128.1814,79.0,92,100,6.85,overcast clouds
330,Pacific Grove,US,36.6177,-121.9166,59.0,63,1,8.05,clear sky
331,Vostok,RU,46.4856,135.8833,27.34,71,100,4.76,overcast clouds
332,Dongsheng,CN,39.8161,109.9776,36.07,23,3,21.3,clear sky
333,Constantine,DZ,36.365,6.6147,53.6,94,75,11.5,broken clouds
